Player,Runs,ScoreRate,Country,centuries,missed centuries,ducks
Lionel S Baker,13.0,30.057499999999997,4,0,0,2
Ryan O Hurley,13.0,30.475,4,0,0,1
Aamir Nazir,13.0,85.41666666666667,3,0,0,0
Glenn A Bishop,13.0,29.58,2,0,0,0
Usman Salahuddin,13.0,51.25,2,0,0,0
Arachchige M N Munasinghe,13.0,26.72,4,0,0,1
Roydon L Hayes,13.0,52.0,1,0,0,0
Norman G Cowans,13.0,49.0175,8,0,0,3
Gopalkrishna Bose,13.0,72.22,1,0,0,0
Heath Te-Ihi-O-Te-Ra Davis,13.0,31.899999999999995,6,0,0,2
Rayad R Emrit,13.0,19.695,2,0,0,1
Jason J Krejza,13.0,93.42,2,0,0,0
Jade W Dernbach,13.0,65.355,4,0,0,0
Surendra Seeraj,13.0,108.33,1,0,0,0
Glen K Bruk-Jackson,12.0,36.36,1,0,0,0
Naeemuddin Aslam,12.0,20.0,2,0,0,1
Dwight M Basden,12.0,30.8,2,0,0,0
Ashley M de Silva,12.0,55.55,2,0,0,0
Richard P De Groen,12.0,29.3475,8,0,0,4
Javed Qadeer,12.0,52.17,1,0,0,0
Imtiaz Abbasi,12.0,27.025000000000002,6,0,0,1
Terrence J Jenner,12.0,48.0,1,0,0,0
Noor-ul-Haq,12.0,10.71,2,0,0,1
Ian C Davis,12.0,19.76,3,0,0,1
Enamul Haque Jr,12.0,53.33200000000001,5,0,0,2
Mornantau Hayward,12.0,40.332,5,0,0,1
Praful S Mehta,12.0,29.26,1,0,0,0
Danish Kaneria,12.0,30.951,10,0,0,6
Paul J K  Mooney,12.0,85.71333333333332,3,0,0,1
Clinton J McKay,12.0,52.082499999999996,4,0,0,1
Asim Saeed,12.0,35.29,2,0,0,1
Bharat Reddy,11.0,53.025,2,0,0,0
Philip A Emery,11.0,84.61,1,0,0,0
Bhagwat S Chandrasekhar,11.0,84.61,1,0,0,0
Geoffrey W Humpage,11.0,46.425,2,0,0,0
Frederick J Titmus,11.0,34.37,1,0,0,0
Zahid Shah,11.0,55.045,2,0,0,0
Arshad Pervez,11.0,22.119999999999997,2,0,0,0
Graeme D Watson,11.0,36.665,2,0,0,1
Haafiz Shahid,11.0,57.77333333333333,3,0,0,0
Sanath M S Kaluperuma,11.0,28.915,2,0,0,0
Gopal Sharma,11.0,67.5,2,0,0,0
Louis J Burger,11.0,17.07,6,0,0,2
John A Maclean,11.0,33.33,1,0,0,0
Ahmed Kamal,11.0,57.89,1,0,0,0
Michael J D Allingham,11.0,10.886666666666665,3,0,0,0
Nilesh M Kulkarni,11.0,50.284000000000006,5,0,0,1
Sarel F Burger,11.0,67.855,2,0,0,0
Philip H Carlson,11.0,20.37,2,0,0,1
Rahul Sharma,11.0,40.47,2,0,0,0
Carlos R Braithwaite,11.0,55.0,1,0,0,0
John G Williamson,11.0,25.375,2,0,0,0
Martin P Stead,10.0,15.15,2,0,0,1
Shabbir Ahmed,10.0,33.657272727272726,11,0,0,4
Asif Masood,10.0,45.23666666666666,3,0,0,1
Bruce M W Patterson,10.0,9.256666666666666,3,0,0,2
Abhijit V Kale,10.0,45.45,1,0,0,0
Matthew D J Walker,10.0,166.66,1,0,0,0
Cecil A Marshall,10.0,26.045,2,0,0,0
Brett Geeves,10.0,45.45,2,0,0,1
Safyaan Sharif,10.0,39.165,2,0,0,0
Kabir Khan,10.0,56.11,5,0,0,1
Andrew J McKay,10.0,26.041249999999998,8,0,0,5
Tirumalai E Srinivasan,10.0,33.695,2,0,0,0
Devendra Bishoo,10.0,22.077142857142857,7,0,0,5
Darryl Brown,10.0,43.135,2,0,0,0
Timothy R Ambrose,10.0,36.968,5,0,0,1
Warren A Wisneski,10.0,65.0,2,0,0,0
Shariful Haque,10.0,166.66,1,0,0,0
Gavin C Tonge,10.0,56.942499999999995,4,0,0,1
Andris K Zesers,10.0,142.42000000000002,2,0,0,0
Deva L S De Silva,10.0,28.57,1,0,0,0
Jacob-Jan Esmeijer,10.0,10.975999999999999,5,0,0,3
Wasim Jaffer,10.0,25.0,2,0,0,1
Neil J MacRae,10.0,25.71,2,0,0,0
Amjed Javed,10.0,100.0,1,0,0,0
Glen P Sulzberger,9.0,60.0,2,0,0,0
Zahid Hussain,9.0,45.83,2,0,0,0
Adam G Huckle,9.0,34.37375,8,0,0,4
Ginigalgodage R A de Silva,9.0,39.545,4,0,0,1
Rashid Zia,9.0,12.88,2,0,0,0
Granville N De Silva,9.0,45.83,2,0,0,0
Alex Jeremy Tudor,9.0,108.33,2,0,0,0
Christopher J Drum,9.0,67.5,2,0,0,0
Carl E Bulfin,9.0,103.33,2,0,0,0
Parbhu G Nana,9.0,11.743333333333334,3,0,0,1
Murray J Bennett,9.0,27.6775,4,0,0,2
Mark J Haslam,9.0,50.0,1,0,0,0
Devon E Malcolm,9.0,76.66600000000001,5,0,0,2
Noel A David,9.0,75.0,2,0,0,0
Howard R Johnson,9.0,30.0,2,0,0,1
Fahad Usman,9.0,34.615,2,0,0,1
John A Snow,9.0,20.5825,4,0,0,1
Vaughn B van Jaarsveld,9.0,59.82,2,0,0,0
Dilip R Doshi,9.0,38.0,5,0,0,2
Mohammad Salim,9.0,37.5,1,0,0,0
Lalchand S Rajput,9.0,32.69,4,0,0,2
Faisal Athar,9.0,23.68,1,0,0,0
Stuart J Chalmers,9.0,64.28,1,0,0,0
Charles A Reid,8.0,45.0,2,0,0,0
Richard A Austin,8.0,61.53,1,0,0,0
Christopher S Martin,8.0,28.092857142857138,7,0,0,2
Barrington S Browne,8.0,12.12,3,0,0,2
Rajindra Dhanraj,8.0,13.33,2,0,0,1
Rahul L Sanghvi,8.0,44.44,2,0,0,1
Narendra D Hirwani,8.0,38.519999999999996,7,0,0,3
Janak C Gamage,8.0,75.0,2,0,0,0
Durand Soraine,8.0,42.06,3,0,0,1
Sanjay S Raul,8.0,30.765,2,0,0,1
Mitchell R Marsh,8.0,160.0,1,0,0,0
Dudley M Vonhagt,8.0,47.05,1,0,0,0
Henry S Williams,8.0,63.885,2,0,0,0
Everton Matambanadzo,8.0,28.091999999999995,5,0,0,2
Monte A Lynch,8.0,16.93,3,0,0,1
Panagodage D R L Perera,8.0,34.69285714285714,7,0,0,4
Thewarathantrige L Fernando,8.0,133.33,1,0,0,0
Sohail Butt,8.0,53.33,2,0,0,0
Vikram R Singh,8.0,61.53,1,0,0,0
David S Steele,8.0,66.66,1,0,0,0
Hafizur Rahman,8.0,33.33,1,0,0,0
Skhawit Ali,8.0,20.0,2,0,0,1
Pankaj Dharmani,8.0,100.0,1,0,0,0
Parth A Desai,8.0,24.467142857142857,7,0,0,3
Alan C I Lock,8.0,38.483333333333334,3,0,0,0
Gholam Nousher,8.0,47.776666666666664,3,0,0,0
K Hussain Butt,8.0,28.71,2,0,0,0
Hamish K Bennett,7.0,17.856666666666666,6,0,0,4
Kevin G Duers,7.0,35.0,2,0,0,0
Withanaarchchige C A Ganegama,7.0,43.75,2,0,0,1
Steven D Jack,7.0,76.66499999999999,2,0,0,0
Robert F Van Oosterom,7.0,27.776666666666667,3,0,0,1
Jeffrey K Moss,7.0,43.75,1,0,0,0
Paras L Mhambrey,7.0,140.0,1,0,0,0
Ian D K Salisbury,7.0,58.33,2,0,0,0
Fazl-E-Akbar,7.0,87.5,1,0,0,0
Kenneth Shuttleworth,7.0,36.84,1,0,0,0
Alam Talukdar,7.0,43.75,1,0,0,0
Nick A Statham,7.0,6.666666666666667,3,0,0,2
Alan G Hurst,7.0,53.332499999999996,4,0,0,1
Ezra A Moseley,7.0,50.0,6,0,0,2
Tinu Yohannan,7.0,66.66499999999999,2,0,0,0
Liaqat Ali,7.0,22.58,1,0,0,0
Natsai Mushangwe,7.0,70.0,1,0,0,0
Anthony Martin,7.0,30.605,4,0,0,1
Vincent R Hogg,7.0,36.84,1,0,0,0
Muthumudalige Pushpakumara,7.0,36.84,1,0,0,0
Graham A Manou,7.0,116.66,1,0,0,0
Rajab W Ali,7.0,14.226666666666667,3,0,0,1
E H Shadeep N Silva,7.0,53.84,1,0,0,0
Materba K G C P Lakshitha,7.0,58.33,2,0,0,0
Vikrant Shetty,7.0,41.17,1,0,0,0
Merenna K D I Amerasinghe,6.0,75.0,4,0,0,2
Wilfred P Diepeveen,6.0,85.71,1,0,0,0
Bhupinder Singh,6.0,46.15,1,0,0,0
Ian W Callen,6.0,45.0,3,0,0,1
Harvinder Singh,6.0,30.0,5,0,0,1
Marcus J North,6.0,29.165,2,0,0,0
Cornelius C Henry,6.0,39.39,2,0,0,0
Clive E Eksteen,6.0,13.04,2,0,0,1
Michael Hendrick,6.0,32.5,10,0,0,5
Izatullah Dawlatzai,6.0,37.5,1,0,0,0
David B Rundle,6.0,30.0,2,0,0,1
Aftab Alam,6.0,60.0,1,0,0,0
Richard J Webb,6.0,60.0,1,0,0,0
Lucas  Oluoch,6.0,99.995,2,0,0,0
Utpal Chatterjee,6.0,36.0,2,0,0,0
Fahim Muntasir,6.0,30.55333333333333,3,0,0,1
Pallemoni Krishnamurthy,6.0,46.15,1,0,0,0
Gegory D Campbell,6.0,27.776666666666667,3,0,0,1
Ashok K Patel,6.0,37.5,2,0,0,1
Adrian P Grayson,6.0,25.0,2,0,0,1
Harilal Shah,6.0,3.7733333333333334,3,0,0,2
Sajjad Akbar,5.0,55.55,1,0,0,0
David J Terbrugge,5.0,22.725,2,0,0,1
Dinanath Ramnarine,5.0,52.22,3,0,0,0
Neeyamur Rashid,5.0,91.665,2,0,0,0
Maqsood Rana,5.0,38.46,1,0,0,0
Amit Mishra,5.0,11.903333333333334,3,0,0,2
Hamish McLeod,5.0,31.25,2,0,0,1
Royston T Crandon,5.0,55.55,1,0,0,0
Jalaluddin,5.0,62.5,2,0,0,1
Naumanullah,5.0,125.0,1,0,0,0
Raymond Illingworth,5.0,25.32,2,0,0,0
Donald J Pringle,5.0,45.83,2,0,0,0
Nizel Fernandes,5.0,38.46,1,0,0,0
Laxman Sivaramakrishnan,5.0,39.26,4,0,0,0
Talha Jubair,5.0,16.666,5,0,0,3
Mansoor Amjad,5.0,50.0,1,0,0,0
Juan Theron,5.0,100.0,1,0,0,0
Roger K Whelan,5.0,50.0,2,0,0,1
Gerrie Synman,5.0,20.8325,4,0,0,3
Khalid Khan,5.0,62.5,2,0,0,0
Aijaz Ali,5.0,48.33,2,0,0,0
Samiur Rahman,4.0,40.0,2,0,0,1
Gursharan Singh,4.0,40.0,1,0,0,0
Shahzad Khan,4.0,33.33,1,0,0,0
Sohail Khan,4.0,44.44,1,0,0,0
Glenn S Trimble,4.0,100.0,2,0,0,1
Richard W Staple,4.0,20.0,2,0,0,1
Aavishkar M Salvi,4.0,14.813333333333333,3,0,0,2
Michael L  Lewis,4.0,100.0,1,0,0,0
Phillipus J R Steyn,4.0,28.57,1,0,0,0
Sudhakar Rao,4.0,28.57,1,0,0,0
Patrick I Pocock,4.0,44.44,1,0,0,0
Jahangir Alam,4.0,22.546666666666667,3,0,0,1
Paul J Franks,4.0,23.52,1,0,0,0
Gyanendrakumar K Pandey,4.0,22.22,2,0,0,1
Shiraz Sumar,4.0,36.36,1,0,0,0
Wriddhiman P Saha,4.0,80.0,1,0,0,0
Philip S Eaglestone,4.0,133.33,1,0,0,0
Barry B Seebaran,4.0,11.11,3,0,0,2
Doddanarasiah Ganesh,4.0,50.0,1,0,0,0
Christopher H Lonsdale,4.0,15.38,1,0,0,0
Ranasinghe P A H Wickramaratne,4.0,66.66499999999999,2,0,0,0
U W M B Chanaka A Welegedara,4.0,58.333333333333336,3,0,0,0
Monde Zondeki,4.0,83.33333333333333,3,0,0,1
Paul Wilson,4.0,23.332,5,0,0,2
Mohammed Nazir,4.0,16.666666666666668,3,0,0,1
Marlon I Black,4.0,25.0,2,0,0,1
Vinoo A B Tewarie,4.0,18.18,1,0,0,0
Steven L Watkin,4.0,9.09,2,0,0,1
Nadeem Ahmed,3.0,10.313333333333333,3,0,0,1
Ranganath Vinay Kumar,3.0,41.666666666666664,3,0,0,1
Mahbubur Rahman,3.0,37.5,1,0,0,0
Lance J Hamilton,3.0,50.0,2,0,0,0
Zameer Zahir,3.0,23.07,1,0,0,0
Abdullah Mazari,3.0,18.75,1,0,0,0
Rustam A Bhatti,3.0,75.0,1,0,0,0
R M Shaminda Eranga,3.0,27.77333333333333,3,0,0,1
Pankaj Singh,3.0,100.0,1,0,0,0
Graeme D Porter,3.0,33.33,1,0,0,0
Umesh Yadav,3.0,100.0,1,0,0,0
Manimeldura C Mendis,3.0,150.0,1,0,0,0
H G Dharshana Nayanakanatha,3.0,33.33,2,0,0,0
Rodney E Redmond,3.0,27.27,1,0,0,0
Ujesh Ranchod,3.0,50.0,1,0,0,0
Darrin J Murray,3.0,17.64,1,0,0,0
Mark J Petrie,3.0,12.5,2,0,0,1
Peter D Heyn,3.0,12.5,2,0,0,0
Mazharul Haque,3.0,16.66,1,0,0,0
Courtney K Kruger,3.0,9.375,2,0,0,1
Cornelius J P G Van Zyl,3.0,75.0,2,0,0,1
Iain E O'Brien,3.0,18.75,2,0,0,1
Mohammad Irfan,3.0,60.0,1,0,0,0
Colin E L Stuart,3.0,23.07,1,0,0,0
Jayawardene W H D Boteju,3.0,36.11,2,0,0,0
Ronald T Hart,3.0,10.34,1,0,0,0
Ijaz Ahmed Jr,3.0,150.0,1,0,0,0
Zahid Ahmed,3.0,18.75,2,0,0,1
Jitendra M Patel,3.0,19.046666666666667,3,0,0,1
John N Valentine,3.0,13.635,2,0,0,1
Surendra V Nayak,3.0,15.78,1,0,0,0
Aftabodeen Shamsuden,3.0,10.71,1,0,0,0
Brian V Vitori,3.0,100.0,1,0,0,0
Nicholas R Dyer,3.0,12.5,4,0,0,2
Daniel W O Morgan,2.0,19.64,2,0,0,0
Nasir Javed,2.0,10.52,1,0,0,0
Greg J Thompson,2.0,5.26,2,0,0,1
Masood Iqbal,2.0,100.0,1,0,0,0
Davenell F Whatmore,2.0,33.33,1,0,0,0
Thandi Tshabalala,2.0,66.66,1,0,0,0
David R O'Sullivan,2.0,41.665,2,0,0,0
Aruna A W Gunawardene,2.0,20.0,1,0,0,0
Patterson I C Thompson,2.0,28.57,1,0,0,0
Milton R Pydanna,2.0,66.66,1,0,0,0
Ahmed Shah,2.0,20.0,1,0,0,0
Daniel J Cullen,2.0,66.66,1,0,0,0
Ajith P Weerakkody,2.0,50.0,1,0,0,0
Morshed Ali Khan,2.0,50.0,1,0,0,0
Anisur Rehman,2.0,10.0,2,0,0,1
Sameer Zia,2.0,10.0,1,0,0,0
Anguppulige G D Wickremasinghe,2.0,20.0,1,0,0,0
Kyle C Hodsoll,2.0,20.0,2,0,0,1
Nadeem Khan,2.0,66.66,1,0,0,0
Jonathan P Agnew,2.0,66.66,1,0,0,0
Junaid Zia,2.0,16.665,2,0,0,1
Kashif Raza,2.0,100.0,1,0,0,0
Junaid Khan,2.0,56.25,2,0,0,0
Peter G Gillespie,2.0,6.25,4,0,0,3
Brett R Dorey,2.0,25.0,1,0,0,0
Austin C L Richards,2.0,100.0,1,0,0,0
Walter J Edwards,2.0,14.28,1,0,0,0
Mithra De S Wettimuny,2.0,18.18,1,0,0,0
Saradindu P Mukherjee,2.0,100.0,1,0,0,0
Robert J Kirtley,2.0,22.915,2,0,0,0
Stuart C Meaker,2.0,13.33,2,0,0,0
Nelson M Odhiambo,1.0,6.25,2,0,0,1
Mohammad Kashif,1.0,3.03,3,0,0,2
Geoffrey A Cope,1.0,100.0,1,0,0,0
Ben Laughlin,1.0,11.11,1,0,0,0
Graham Onions,1.0,50.0,1,0,0,0
Simon P Jones,1.0,50.0,1,0,0,0
Mohsin Mulla,1.0,9.09,1,0,0,0
Moniruzzaman,1.0,3.57,2,0,0,1
Nasim-Ul-Ghani,1.0,12.5,1,0,0,0
Dirk P Nannes,1.0,50.0,1,0,0,0
Ryan Ramdass,1.0,11.11,1,0,0,0
John G Thomas,1.0,11.11,3,0,0,2
Mahmood Hamid,1.0,16.66,1,0,0,0
Kalpesh A  Patel,1.0,50.0,2,0,0,1
Kelaniyage J Silva,1.0,100.0,1,0,0,0
Khahakachchi P J Warnaweera,1.0,16.666666666666668,3,0,0,2
Jonathan P Taylor,1.0,12.5,1,0,0,0
Imran Tahir,1.0,50.0,2,0,0,1
Berend A Westdijk,1.0,11.11,3,0,0,2
Chamara I Dunusinghe,1.0,100.0,1,0,0,0
James W A Taylor,1.0,12.5,1,0,0,0
Leon C Romero,1.0,10.0,2,0,0,1
Iqbal Sikander,1.0,33.33,1,0,0,0
Yograj Singh,1.0,8.3325,4,0,0,3
Stuart J Roberts,1.0,50.0,1,0,0,0
Alawi Shukri,1.0,33.33,1,0,0,0
Paul-Jan Bakker,1.0,25.0,1,0,0,0
R A Suranga Lakmal,1.0,8.3325,4,0,0,3
Anthony M Stuart,1.0,14.28,1,0,0,0
Waddington Mwayenga,1.0,25.0,2,0,0,1
Rageg G Aga,1.0,8.33,2,0,0,1
Aminul Islam Jnr,1.0,100.0,1,0,0,0
Rajinder S Ghai,1.0,33.33,1,0,0,0
Phenyo V Mpitsang,1.0,100.0,1,0,0,0
Abdul Rehman,1.0,7.69,1,0,0,0
Leslie B Taylor,1.0,16.66,1,0,0,0
Naman V Ojha,1.0,14.28,1,0,0,0
Stuart C G MacGill,1.0,25.0,2,0,0,1
Sunil A Jayasinghe,1.0,33.33,1,0,0,0
Nandlal S Yadav,1.0,3.57,2,0,0,1
Matthew T G Elliott,1.0,16.66,1,0,0,0
Sudeep Tyagi,1.0,50.0,1,0,0,0
Michael C Cowdrey,1.0,20.0,1,0,0,0
Yunus Badat,1.0,12.5,2,0,0,1
Norman Gifford,0.0,0.0,1,0,0,1
Riaan Walters,0.0,0.0,2,0,0,2
Tafadzwa Kamungozi,0.0,0.0,3,0,0,3
Nasir Hameed,0.0,0.0,1,0,0,1
Norman M Parker,0.0,0.0,1,0,0,1
Nishantha Ranatunga,0.0,0.0,1,0,0,1
Norbert Phillip,0.0,0.0,1,0,0,1
Brendon P Bracewell,0.0,0.0,1,0,0,1
Njabulo Ncube,0.0,0.0,1,0,0,1
Showkat Baksh,0.0,0.0,1,0,0,1
Donovan L Blake,0.0,0.0,1,0,0,1
Naseer Malik,0.0,0.0,1,0,0,1
Garnett J-P Kruger,0.0,0.0,2,0,0,2
Ryan Flannigan,0.0,0.0,1,0,0,1
Andrew G Puttick,0.0,0.0,1,0,0,1
Najaf Shah,0.0,0.0,1,0,0,1
Naeem Ahmed,0.0,0.0,1,0,0,1
Fahad Alhashmi,0.0,0.0,2,0,0,2
Amit Bhandari,0.0,0.0,1,0,0,1
Amin Ali,0.0,0.0,1,0,0,1
Garfield St A Sobers,0.0,0.0,1,0,0,1
Rafiqul Islam,0.0,0.0,1,0,0,1
Nelon T Pascal,0.0,0.0,1,0,0,1
Rizwan Latif,0.0,0.0,1,0,0,1
Gulbodin Naib,0.0,0.0,1,0,0,1
Chadwick A K Walton,0.0,0.0,2,0,0,2
James L Pattinson,0.0,0.0,1,0,0,1
Dave Mohammed,0.0,0.0,1,0,0,1
Neal V Radford,0.0,0.0,3,0,0,3
Mohammad Khalil,0.0,0.0,1,0,0,1
M R C Niroshan Bandarathilake,0.0,0.0,1,0,0,1
Lancelot R Gibbs,0.0,0.0,1,0,0,1
Zakir Hasan,0.0,0.0,1,0,0,1
Shane M Harwood,0.0,0.0,1,0,0,1
Shakeel Khan,0.0,0.0,1,0,0,1
Abhishek M Nayar,0.0,0.0,1,0,0,1
Margasaghayam Venkataramana,0.0,0.0,1,0,0,1
Michael B Owens,0.0,0.0,1,0,0,1
Joseph E Benjamin,0.0,0.0,1,0,0,1
Shafiqullah,0.0,0.0,1,0,0,1
Shadab Kabir,0.0,0.0,3,0,0,3
Jonathan P Millmow,0.0,0.0,1,0,0,1
Seekkuge Prasanna,0.0,0.0,1,0,0,1
Harun-Ur-Rashid,0.0,0.0,2,0,0,2
Jo Angel,0.0,0.0,1,0,0,1
Robert G Hart,0.0,0.0,1,0,0,1
Victor Grandia,0.0,0.0,1,0,0,1
Robert G Callender,0.0,0.0,2,0,0,2
Charl M Willoughby,0.0,0.0,2,0,0,2
Anwar Hossain Monir,0.0,0.0,1,0,0,1
Dawlat Zadran,0.0,0.0,2,0,0,2
Tanvir Mehdi,0.0,0.0,1,0,0,1
Alexander G R Loudon,0.0,0.0,1,0,0,1
